enabled,build_id,geometry_key,ligType,DENTATE,COORDLIST,DONOR_TYPES,SMILES_FOR_ARCHITECTOR,metal_symbol,coreCN,n_ligs,inner_sphere_anion,note
1,ddcd093eef63,,tri_mer_bent,3,"[7, 15, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,Gd,9,3,nitrate,family template replan: BTP_like_N3
1,16266565b918,,hexa_octahedral,6,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Gd,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,cb692aadc103,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Gd,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,12617cf87837,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Gd,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,a393be50ce40,,hexa_octahedral,6,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,Gd,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,37a7e6578c98,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Gd,9,1,water,family template replan: large_rigid_filtered_4dent
1,21e525fbd19c,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Ho,8,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,b0f948efeb96,,tri_mer_bent,3,"[7, 15, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,Ho,9,3,nitrate,family template replan: BTP_like_N3
1,171464402dab,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Ho,8,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,75c4380e37c9,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Ho,8,1,nitrate,family template replan: large_rigid_filtered_4dent
1,633bb9a91abb,,tri_mer_bent,3,"[5, 13, 24]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Ho,9,3,nitrate,family template replan: BTP_like_N3
1,45a08ce57e6e,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Ho,8,1,water,family template replan: large_rigid_filtered_4dent
1,505d828558f4,,bi_cis_chelating,2,"[8, 9]","[""O(ether)"", ""O(hydroxyl)""]",CCCCCCOP(=O)(O)OCCCCCC,Ho,8,4,nitrate,family template replan: phosphoryl_thiophosphoryl_2dent
1,877a364053d7,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,La,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,7a5f301c3304,,hexa_octahedral,6,"[0, 4, 7, 15, 18, 22]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,La,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
1,ca803c71b2b1,,tri_mer_bent,3,"[7, 15, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,La,9,3,nitrate,family template replan: BTP_like_N3
1,2f4afdcc8771,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,La,9,1,nitrate,family template replan: large_rigid_filtered_4dent
