family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||nitrate||9||3||0||nitrate,Pr,Nd,3,1,0,1,0.0018833710744222657,-0.0019037067109830552,-0.016999999999999904,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||nitrate||9||3||0||nitrate,Eu,Gd,7,1,4,5,0.008205794341875565,-0.0026688384038235924,-0.013000000000000123,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Tb,Dy,9,1,-3,-2,0.012913485183374132,-0.006623560987152111,-0.013000000000000123,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Dy,Ho,10,1,-2,-1,0.011458762107218017,-0.0069354264537855315,-0.01200000000000001,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Ho,Er,11,1,-1,0,0.006536704952524372,-0.006052004730340066,-0.010999999999999899,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Er,Tm,12,1,0,1,0.008910232052134317,-0.007150648022217876,-0.010000000000000009,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Tm,Yb,13,1,1,2,0.014726461965206319,-0.009633519908327948,-0.009000000000000008,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||8||2||2||water,Yb,Lu,14,1,2,3,0.015670973596520907,-0.004543035438739462,-0.008000000000000007,8,8,149
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||9||3||0||water,La,Ce,1,1,-3,-2,0.08616768302317576,-0.013002895686786697,-0.016999999999999904,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||9||3||0||water,Ce,Pr,2,1,-2,-1,0.011132179954450943,-0.007377262947956709,-0.017000000000000126,9,9,214
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water||9||3||0||water,Pr,Nd,3,1,-1,0,0.004039933233203969,-0.0023005049525886,-0.016999999999999904,9,9,214
