metal_dir,file_stem,xyz_path,mol2_path,has_mol2,file_size_xyz,file_size_mol2,metal_symbol,atomic_number,oxidation_state,coreCN,n_ligs,inner_sphere_anion,geometry_hash,parsed_name_ok
La,La_Z57_ox3_CN9_nlig3_water_99cfb384512e,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_99cfb384512e.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_99cfb384512e.mol2,True,50466,31350,La,57,3,9,3,water,99cfb384512e,True
La,La_Z57_ox3_CN9_nlig3_water_9bcb2e957ab8,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_9bcb2e957ab8.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_9bcb2e957ab8.mol2,True,44851,27891,La,57,3,9,3,water,9bcb2e957ab8,True
La,La_Z57_ox3_CN9_nlig3_water_a00fc375c167,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_a00fc375c167.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_a00fc375c167.mol2,True,51406,31926,La,57,3,9,3,water,a00fc375c167,True
La,La_Z57_ox3_CN9_nlig3_water_a4a68747ac9e,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_a4a68747ac9e.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_a4a68747ac9e.mol2,True,56084,34806,La,57,3,9,3,water,a4a68747ac9e,True
La,La_Z57_ox3_CN9_nlig3_water_b534edeea3a3,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b534edeea3a3.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b534edeea3a3.mol2,True,33621,20982,La,57,3,9,3,water,b534edeea3a3,True
La,La_Z57_ox3_CN9_nlig3_water_b5bbb324b00d,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b5bbb324b00d.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b5bbb324b00d.mol2,True,39232,24438,La,57,3,9,3,water,b5bbb324b00d,True
La,La_Z57_ox3_CN9_nlig3_water_b7c2dfd92f92,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b7c2dfd92f92.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b7c2dfd92f92.mol2,True,33616,20982,La,57,3,9,3,water,b7c2dfd92f92,True
La,La_Z57_ox3_CN9_nlig3_water_b958fc57e336,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b958fc57e336.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_b958fc57e336.mol2,True,43444,27044,La,57,3,9,3,water,b958fc57e336,True
La,La_Z57_ox3_CN9_nlig3_water_cac084a0d563,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_cac084a0d563.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_cac084a0d563.mol2,True,53274,33078,La,57,3,9,3,water,cac084a0d563,True
La,La_Z57_ox3_CN9_nlig3_water_de8330552bc9,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_de8330552bc9.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig3_water_de8330552bc9.mol2,True,36429,22710,La,57,3,9,3,water,de8330552bc9,True
La,La_Z57_ox3_CN9_nlig4_nitrate_090126457ba1,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_090126457ba1.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_090126457ba1.mol2,True,25195,15942,La,57,3,9,4,nitrate,090126457ba1,True
La,La_Z57_ox3_CN9_nlig4_nitrate_26475200f159,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_26475200f159.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_26475200f159.mol2,True,53898,33411,La,57,3,9,4,nitrate,26475200f159,True
La,La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4a8982e90a94.mol2,True,68876,42630,La,57,3,9,4,nitrate,4a8982e90a94,True
La,La_Z57_ox3_CN9_nlig4_nitrate_4da09d754091,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4da09d754091.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4da09d754091.mol2,True,44535,27750,La,57,3,9,4,nitrate,4da09d754091,True
La,La_Z57_ox3_CN9_nlig4_nitrate_4e8cb6ac0b5c,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4e8cb6ac0b5c.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_4e8cb6ac0b5c.mol2,True,44536,27764,La,57,3,9,4,nitrate,4e8cb6ac0b5c,True
La,La_Z57_ox3_CN9_nlig4_nitrate_52429ea3421d,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_52429ea3421d.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_52429ea3421d.mol2,True,44536,27750,La,57,3,9,4,nitrate,52429ea3421d,True
La,La_Z57_ox3_CN9_nlig4_nitrate_565df3b892a1,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_565df3b892a1.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_565df3b892a1.mol2,True,53897,33414,La,57,3,9,4,nitrate,565df3b892a1,True
La,La_Z57_ox3_CN9_nlig4_nitrate_57d7c9a51075,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_57d7c9a51075.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_57d7c9a51075.mol2,True,38922,24198,La,57,3,9,4,nitrate,57d7c9a51075,True
La,La_Z57_ox3_CN9_nlig4_nitrate_5dd23c7b3686,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_5dd23c7b3686.xyz,data/geometries/La/La_Z57_ox3_CN9_nlig4_nitrate_5dd23c7b3686.mol2,True,35179,21894,La,57,3,9,4,nitrate,5dd23c7b3686,True
